case_number,year,country,area,location,activity,sex,age,injured_part,fatal,time,species
2012.01.19,2012,AUSTRALIA,Western Australia,Coral Bay,Snorkeling,M,26,arm,N,15,tiger shark
1992.10.22,1992,USA,Hawaii,"Lanaikea, O'ahu",Surfing,M,28,arm,N,7,tiger shark
1936.04.22,1936,AUSTRALIA,Queensland,Arlington Reef near Cairns,Diving for trochus,M,16,arm,N,10,tiger shark
1997.08.14.a,1997,MEXICO,Quintana Roo,"Santa Rosa, Cozumel",SCUBA diving,M,33,arm,Y,Unknown,tiger shark
2006.05.31,2006,USA,Hawaii,O'ahu,Spearfishing,M,26,arm,N,13,tiger shark
2015.03.18,2015,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58,arm,N,11,tiger shark
1965.10.16.b,1965,BAHAMAS,New Providence Island,Nassau,Sunbathing on beach when he saw child being attacked by the shark,M,32,arm,N,Unknown,Unknown
1941.07.01,1941,USA,Hawaii,"Nankuli, O'ahu",Fishing,M,Unknown,arm,N,Unknown,Unknown
2007.09.03.b,2007,USA,Florida,"Daytona Beach, Volusia County",Jumping,F,12,arm,N,9,Unknown
1958.00.00.h,1958,PANAMA,Canal Zone,Unknown,Skindiving,M,Unknown,arm,N,Unknown,Unknown
1937.05.15,1937,AUSTRALIA,Queensland,"Ross River, Townsville","Refused permission to cross on the ferry, he was swimming across the river",M,33,arm,Y,21,Unknown
1961.02.01.b,1961,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,M,14,arm,Y,14,Unknown
1960.09.24,1960,USA,South Carolina,"Atlantic Beach, Horry County",Fishing inside net,M,Unknown,arm,N,Unknown,Unknown
1959.08.12,1959,CROATIA,Istria,Pula,Fishing,M,Unknown,arm,N,Unknown,Unknown
1958.09.06,1958,BAHAMAS,Cat Cay,off yacht Serenade,Fishing,M,42,arm,N,9,Unknown
1933.09.27.R,1933,ISRAEL,Unknown,Nabi Rubin,Fishing,M,Unknown,arm,N,Unknown,Unknown
1963.12.26.a,1963,AUSTRALIA,Queensland,"Figtree Ledge, Hervey Bay",Sitting on gunwale of boat,M,Unknown,arm,N,7,Unknown
1990.02.17,1990,USA,Hawaii,"Mokapu, Kane'ohe Marine Air Corps Station, O'ahu",Scuba diving & spearfishing,M,Unknown,arm,Y,21,Unknown
1966.08.13,1966,ITALY,Taranto province,"Pulsano, near Taranto",Attacked shark with fists,M,21,arm,N,Unknown,Unknown
2005.07.15,2005,USA,North Carolina,"Holden Beach, Brunswick County",Swimming,M,22,arm,N,16,Unknown
1957.12.23,1957,SOUTH AFRICA,KwaZulu-Natal,Margate,Floating,M,23,arm,Y,16,Unknown
1952.12.03,1952,USA,Hawaii,"Maile Beach, O'ahu",Swimming from fishing boat setting nets,M,40,arm,Y,Unknown,Unknown
2002.04.01,2002,USA,Florida,"Lauderdale-By-The-Sea, Broward County",Swimming / Wading,M,29,arm,N,11,Unknown
1963.01.11,1963,SOUTH AFRICA,KwaZulu-Natal,"Peace Cottage, Umdhloti","Free diving, hunting crayfish",M,27,arm,N,12,Unknown
1970.09.13,1970,PALAU,Western Caroline Islands (North Pacific Ocean),Outside barrier reef,Spearfishing,M,20,arm,N,Unknown,Unknown
2004.06.10.a,2004,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,8,arm,N,18,Unknown
1996.10.03.b,1996,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,21,arm,N,8,Unknown
1975.07.15,1975,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,14,arm,N,10,Unknown
1977.04.21,1977,USA,Hawaii,"Ka'anapali, Maui",Swimming,M,Unknown,arm,N,Unknown,Unknown
1995.10.01,1995,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,39,arm,N,11,Unknown
1995.08.25,1995,USA,North Carolina,"Off Masonboro Island, New Hanover County",Swimming,M,16,arm,N,18,Unknown
1990.06.23,1990,BAHAMAS,Unknown,Bimini,Spearfishing,M,38,arm,N,14,Unknown
1995.08.31.b,1995,USA,Florida,"North Beach Inlet, St. Lucie County",Surfing,M,19,arm,N,Unknown,Unknown
1984.10.21,1984,USA,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",Surfing or body surfing,F,23,arm,N,13,Unknown
1997.08.04,1997,USA,Florida,"Carysfort Lighthouse, Key Largo, Monroe County",Wade-fishing,M,Unknown,arm,N,Unknown,Unknown
1993.01.05,1993,AUSTRALIA,Queensland,"Line Reef, northeast of Hamilton Island, Whitsundays",Spearfishing,M,21,arm,N,9,Unknown
2011.02.23,2011,NEW CALEDONIA, Loyalty Islands,"Bay of Bweedro, Ouvï¿",Spearfishing,M,21,arm,N,12,Unknown
1990.11.28,1990,AUSTRALIA,Queensland,Nerang River,Swimming ,M,26,arm,N,Unknown,Unknown
1980.00.00.d,1980,NORTH ATLANTIC OCEAN,Unknown,Onboard swordfish trawler,Gaffing netted shark,M,34,arm,N,Unknown,Unknown
2005.08.12,2005,USA,North Carolina,"Carolina Beach off Texas Avenue, New Hanover County",Surfing,M,16,arm,N,11,Unknown
2004.07.27.b,2004,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,arm,N,17,Unknown
1994.06.24,1994,BAHAMAS,Grand Bahama Island,Freeport,Spearfishing,M,30,arm,N,15,Unknown
1988.09.13.b,1988,USA,Florida,"Shell Island Panama City Beach, Bay County",Walking,F,Unknown,arm,N,15,Unknown
1963.06.01.a,1963,PAPUA NEW GUINEA,Central Province,Near Fisherman's Island,Fishing,M,30,arm,N,9,Unknown
1995.09.19.,1995,USA,Florida,"Matanzas Bay Inlet, St. Johns County",Surfing,M,19,arm,N,Unknown,Unknown
1965.02.14,1965,SOUTH AFRICA,KwaZulu-Natal,Amatikulu,Treading water,M,25,arm,N,15,Unknown
1981.10.19.a,1981,USA,Florida,"Jupiter Island, Brevard County",Swimming,M,19,arm,N,11,Unknown
1985.10.12,1985,USA,Hawaii,"Barbers Point, O'ahu",Floating on inner tube after diving for lobster,M,24,arm,N,Unknown,Unknown
1963.04.13,1963,AUSTRALIA,Western Australia,Yallingup,"Surfing on ""chest board"" (boogie board?)",M,25,arm,N,Unknown,Unknown
1894.11.28,1894,AUSTRALIA,New South Wales,Newcastle ,Bathing,M,19,arm,N,9,Unknown
1918.03.22,1918,AUSTRALIA,New South Wales,Newcastle,Surfing,M,Unknown,arm,N,18,Unknown
1924.07.14,1924,ENGLAND,Dorset,Weymouth,Fishing for mackerel,M,Unknown,arm,N,Unknown,Unknown
1917.09.09,1917,USA,Hawaii,"Nanakuli, Oahï¿",Stuffing a shark into an automobile,M,Unknown,arm,N,Unknown,Unknown
1976.06.23,1976,USA,Florida,"St. Andrews State Park, Bay County",Skindiving,M,17,arm,N,21,Unknown
2015.05.25,2015,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,Spearfishing,M,19,arm,N,8,Unknown
2001.01.24,2001,CUBA,Holquin Province,Off Blau Costa Verde resort,Swimming,F,55,arm,N,Unknown,Unknown
1955.05.08,1955,USA,California,"Malibu, Los Angeles County",Spearfishing,M,28,arm,N,Unknown,Unknown
1953.06.00,1953,AUSTRALIA,Queensland,Unknown,Landing hooked shark in boat,M,Unknown,arm,N,Unknown,Unknown
2012.01.03,2012,AUSTRALIA,New South Wales,North Avoca Beach,Surfing,M,28,arm,N,20,Unknown
1967.09.13,1967,ITALY,Brindisi Province,Brindisi,Scuba diving,M,21,arm,N,Unknown,Unknown
1901.09.23.R,1901,CYPRUS,Southern Cyprus,Larnaca,Swimming,M,15,arm,Y,Unknown,Unknown
2007.03.12,2007,AUSTRALIA,Queensland,"Moore Park, north of Bundaberg",Swimming,F,59,arm,N,15,Unknown
2009.04.17.,2009,USA,Florida,"Walton Rocks, St Lucie County",Surfing,M,31,arm,N,13,Unknown
1966.12.31,1966,AUSTRALIA,Tasmania,"Piccaninny Point, 10 miles from Bicheno",Fishing,M,30,arm,N,Unknown,Unknown
1964.01.01.a,1964,SOUTH AFRICA,Western Cape Province,Mossel Bay,Diving for sinkers,M,Unknown,arm,N,19,Unknown
2002.05.13,2002,USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,M,31,arm,N,Unknown,Unknown
1978.11.26,1978,USA,Hawaii,"Ewa, O'ahu",Surfing,M,Unknown,arm,N,Unknown,Unknown
1972.08.17,1972,USA,Hawaii,"Waimanu, Honoka'a, Hawai'i",Spearfishing,M,Unknown,arm,N,Unknown,Unknown
1955.07.07,1955,YEMEN,Aden,Telegraph Bay,Swimming,F,Unknown,arm,Y,Unknown,Unknown
1954.10.06,1954,UNITED KINGDOM,Isle of Man,Off Fleetwood,Fishing  (trawling),M,62,arm,N,Unknown,Unknown
1958.04.03,1958,SOUTH AFRICA,KwaZulu-Natal,Port Edward,Swimming with goggles,M,29,arm,Y,13,Unknown
1924.01.19,1924,AUSTRALIA,New South Wales,"Near Asbestos Works, Camellia, Parramatta River",Had just dived into water & was swimming,M,16,arm,Y,16,Unknown
1991.08.30,1991,AUSTRALIA,Queensland,"On board the Japanese longline trawler Fukuya No.38, 100 nm northeast of Brisbane",Finning the shark that bit him,M,36,arm,N,15,Unknown
2016.01.02,2016,AUSTRALIA,Queensland,Miall Island,Spearfishing,M,31,arm,N,11,Unknown
2008.05.24.a,2008,MEXICO,Guerro,Playa Linda,Surfing,M,49,arm,N,7,Unknown
2004.11.00,2004,NEW CALEDONIA,North Province,Koumac,Diving,Unknown,Unknown,arm,N,Unknown,Unknown
1983.07.15,1983,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",Surfing,M,Unknown,arm,N,Unknown,Unknown
2016.09.11,2016,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,60,arm,N,15,Unknown
2016.06.15.b,2016,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,Unknown,arm,N,6,Unknown
2010.08.02.a,2010,USA,Florida,"Micklers Landing, St. Johns County",Standing,F,37,arm,N,11,Unknown
1959.02.06,1959,PAPUA NEW GUINEA, Kikori River mouth,"Ururumba, mouth of Kikori River 7.45S, 144.40E",Fishing,M,Unknown,arm,N,Unknown,Unknown
1956.10.20,1956,PAPUA NEW GUINEA,Central Province,Kapakapa ,"Spearfishing, holding 5' speared fish",M,Unknown,arm,N,Unknown,Unknown
1974.07.02,1974,USA,Florida ,Gulf of Mexico,Adrift after the sinking of the motor yacht Princess Dianne,M,10,arm,Y,Unknown,Unknown
1965.09.08,1965,MEXICO,Veracruz,Playa Villa del Mar,Unknown,M,23,arm,N,18,Unknown
1985.05.08,1985,SOUTH AFRICA,KwaZulu-Natal,Umdhloti,Spearfishing,M,39,arm,N,Unknown,Unknown
1977.02.26,1977,AUSTRALIA,New South Wales,"Kingscliffe Beach, south of Tweed Heads","Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",M,24,arm,N,Unknown,Unknown
2015.08.20,2015,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,15,arm,N,12,Unknown
1969.08.01,1969,USA,Florida,"St. Petersburg, Pinnellas County",Body surfing,M,13,arm,N,16,Unknown
1966.07.19,1966,USA,South Carolina,"Folly Beach, Charleston County",Killing a shark,M,34,arm,N,18,Unknown
2014.03.22.a,2014,USA,Florida,Delray Beach,Kite Surfing,M,Unknown,arm,N,Unknown,Unknown
1982.02.27,1982,USA,Florida,"Hobe Sound, Palm Beach County",Surfing,M,18,arm,N,Unknown,Unknown
2011.09.16,2011,USA,Florida,New Smyrna Beach,Surfing,M,25,arm,N,11,Unknown
1935.06.18,1935,USA,New Jersey,50 miles offshore,"Fishing for bluefish, shark leapt into dory",M,31,arm,N,Unknown,Unknown
1943.04.05,1943,USA,Hawaii,"3 miles from shore off McGregor Point, Maui","Small boat swamped, 4  people swimming to shore but he fell behind the other 3 and vanished",M,Unknown,arm,Y,Unknown,Unknown
2012.09.25,2012,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,21,arm,N,16,Unknown
1982.06.26.b,1982,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,20,arm,N,16,Unknown
1947.02.06.R,1947,BAHAMAS,New Providence Island,Cable Beach,Attempting to ride a shark,M,Unknown,arm,N,Unknown,Unknown
1959.08.14.b,1959,USA,South Carolina,Charleston,Fishing,M,Unknown,arm,N,Unknown,Unknown
2011.01.31,2011,MEXICO,Quintana Roo,Cancun,Swimming,F,38,arm,N,12,Unknown
1949.11.20,1949,AUSTRALIA,New South Wales,"Kurnell, Botany Bay ",Free diving or wading back to shore,M,36,arm,N,15,Unknown
1922.05.24,1922,JAMAICA,Westmoreland Parish,Savanna-la-Mar,Swimming,M,19,arm,Y,10,Unknown
2009.05.06,2009,BAHAMAS,Exuma Islands,Unknown,Spearfishing,M,48,arm,N,Unknown,Unknown
1957.07.09,1957,AUSTRALIA,Torres Strait,Near Thursday Island,Diving for trochus,M,36,arm,N,Unknown,Unknown
1944.12.18,1944,PHILIPPINES,300 miles east of Luzon,USS Hull DD-350 was one of 3 destroyers that capsized in Typhoon Cobra,Swimming near life raft,M,19,arm,N,Unknown,Unknown
1928.11.04,1928,PANAMA,Gulf of Panama,Taboga Island Bay,Swimming,M,17,arm,Y,10,Unknown
1943.10.26,1943,USA,Florida,Victim was on said to be on tanker that collided off Florida coast on 10-20-1943,Unknown,M,Unknown,arm,N,Unknown,Unknown
2017.05.27,2017,AUSTRALIA,New South Wales,Evans Head,Fishing ,M,73,arm,N,Unknown,Unknown
2015.10.08,2015,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,M,Unknown,arm,N,Unknown,Unknown
2014.11.20,2014,MAURITIUS,Cargados Carajos Shoals (St. Brandon),Unknown,Fishing,M,39,arm,Y,Unknown,Unknown
2014.06.09.c,2014,BRAZIL,Unknown,500 km off the coast of Pernambuco,Fishing,M,43,arm,N,Unknown,Unknown
1992.07.08.b,1992,BRAZIL,Maranhï¿,"Praia da Marcela, Sï¿½ï¿½ï¿½ï¿½ï",Surfing,M,Unknown,arm,N,Unknown,Unknown
2013.12.13,2013,KIRIBATI,740 miles SE of Tarawa Atoll,Unknown,Attempting to remove fishing net from submerged object,M,35,arm,N,Unknown,Unknown
2013.03.03,2013,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,M,39,arm,N,Unknown,Unknown
2011.09.28.b,2011,DOMINICAN REPUBLIC,Samanï¿½ï¿½ï¿½ï,Playa Jackson ,Fishing,M,48,arm,N,Unknown,Unknown
2011.06.06.R,2011,COLUMBIA,San Andrï¿½ï¿½ï¿½ï¿½ï¿,Albuquerque Cay,Spearfishing,M,24,arm,N,Unknown,Unknown
2009.09.15,2009,SOMALIA,Unknown,300 miles off the coast ,Fishing,M,Unknown,arm,N,Unknown,Unknown
2009.01.27.R,2009,AZORES,Unknown,Onboard the fishing vessel Nuevo Cedes ,Fishing,M,49,arm,N,Unknown,Unknown
2008.04.09.R,2008,FIJI,Unknown,Unknown,Spearfishing,M,Unknown,arm,N,Unknown,Unknown
2006.02.12.b,2006,AUSTRALIA,Queensland,"Point Vernon, Hervey Bay",Swimming,M,Unknown,arm,N,Unknown,Unknown
2004.04.13.a,2004, TONGA,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,Unknown,arm,Y,Unknown,Unknown
2002.06.16,2002,INDONESIA,Unknown,"Shark caught in Indonesia, offloaded to trawler that docked at Samut Prakan, 20 miles south of Bangkok, Thailand",Unknown,Unknown,Unknown,arm,Y,Unknown,Unknown
2002.06.13.R2,2002,PAPUA NEW GUINEA,Louisiade Archipelago,"Brooker Island , Calvados Chain",Unknown,Unknown,Unknown,arm,N,Unknown,Unknown
2001.05.18,2001,PHILIPPINES,Zamboanga del Sur Province,Unknown,Shark fishing,M,24,arm,N,Unknown,Unknown
2016.10.21,2016,USA,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,36,arm,N,17,Unknown
1952.04.00,1952,SUDAN,Red Sea State,"Suakin Harbor, Suakin Island",Spearfishing,M,Unknown,arm,N,21,Unknown
2006.09.02.a,2006,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,13,arm,N,17,Unknown
2017.01.22,2017,USA,Florida,"Vero Beach, Indian River County",Unknown,M,15,arm,N,14,Unknown
2016.12.27,2016,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,arm,N,17,Unknown
2016.05.21.a,2016,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,arm,N,17,Unknown
2016.02.19,2016,NEW CALEDONIA,South Province,Yate,Spearfishing,M,31,arm,N,16,Unknown
2015.11.01.a,2015,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,19,arm,N,4,Unknown
2015.10.09.b,2015,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,9,arm,N,16,Unknown
1995.07.07,1995,BRAZIL,Pernambuco,Candeias,Surfing,M,18,arm,Y,Unknown,Unknown
2014.11.08,2014,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18,arm,N,16,Unknown
1993.09.16.a,1993,EL SALVADOR,La Libertad,El Cocal Beach,Surfing,M,17,arm,Y,Unknown,Unknown
2013.11.10,2013,BAHAMAS,Unknown,Off Cape Eleuthera,Shark fishing,M,77,arm,N,11,Unknown
2013.08.25,2013,AUSTRALIA,New South Wales,Smiths,Wrangling a shark,M,Unknown,arm,N,15,Unknown
1992.05.00,1992,MEXICO,Mexico / Caribbean Sea,Isla Mujeres,Scuba diving & filming,M,Unknown,arm,N,Unknown,Unknown
2014.06.08,2014,JAPAN,Atsumi peninsula,Aichi,Surfing,M,43,arm,N,15,Unknown
1991.06.28,1991,HONG KONG,Kowloon Peninsula,Sai Kung,Fishing,M,Unknown,arm,Y,Unknown,Unknown
2011.07.13.a,2011,BAHAMAS,Grand Bahama Island,Off Lucaya,Scuba diving,M,54,arm,N,12,Unknown
2011.07.05,2011,COLUMBIA,Sucre,"Libertad, San Onofre",Kayaking,M,17,arm,N,10,Unknown
2011.03.21.a,2011,FIJI,Unknown,Nukudamu ,Diving / fishing,M,30,arm,N,16,Unknown
2010.05.03,2010,MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",Scuba diving,M,59,arm,N,9,Unknown
1989.08.09,1989,BAHAMAS,Great Exuma Island,Highborn Cay,Spearfishing,F,31,arm,N,Unknown,Unknown
2010.01.09.a,2010,VIETNAM,Binh Dinh Province,Quy Nhon ,Bathing,M,Unknown,arm,N,6,Unknown
2010.01.06,2010,USA,Florida,Elliot Key,Spearfishing,M,32,arm,N,10,Unknown
2009.07.30,2009,AUSTRALIA,New South Wales,Broken Head,Surfing,M,14,arm,N,6,Unknown
1988.07.00,1988,BAHAMAS,Unknown,Unknown,Spearfishing,M,Unknown,arm,N,Unknown,Unknown
1988.04.10,1988,SOUTH AFRICA,KwaZulu-Natal,La Lucia,Unknown,F,Unknown,arm,Y,Unknown,Unknown
2008.08.20,2008,USA,Florida,"Sanibel Island, Lee County",Swimming,M,47,arm,N,14,Unknown
2008.07.25.a,2008,USA,Hawaii,"Lahilahi Point, Oahu",Snorkeling,F,44,arm,N,8,Unknown
2008.07.11,2008,USA,South Carolina,"Isle of Palms, Charleston County",Surfing,M,24,arm,N,14,Unknown
2008.05.26,2008,USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,M,9,arm,N,15,Unknown
1985.12.22,1985,SOUTH AFRICA,KwaZulu-Natal,Garvies Beach,Surfing,M,Unknown,arm,N,Unknown,Unknown
1985.11.03,1985,USA,California,5 miles south of Redondo Beach,Fishing,M,24,arm,N,Unknown,Unknown
2007.03.11,2007,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,M,29,arm,N,13,Unknown
2006.06.24,2006,BAHAMAS,Andros Islands,Mangrove Cay,Spearfishing,M,25,arm,N,13,Unknown
2006.05.10,2006,USA,Florida,"Cocoa Beach, Brevard  County",Unknown,M,Unknown,arm,N,12,Unknown
2006.01.25,2006,SOUTH AFRICA,Eastern Cape Province,Coffee Bay,Spearfishing,M,34,arm,N,14,Unknown
2005.11.24,2005,NEW CALEDONIA,Loyalty Islands,Marï,Spearfishing,Unknown,Unknown,arm,N,20,Unknown
1982.11.00,1982,USA,South Carolina,"Isle of Palms, Charleston County",In waist-deep water,M,Unknown,arm,N,Unknown,Unknown
1982.07.00,1982,NEW CALEDONIA,South Province,"Sarcelle, Isle of Pines",Unknown,Unknown,Unknown,arm,N,Unknown,Unknown
1982.03.00,1982,NEW CALEDONIA,Unknown,Unknown,Spearfishing,Unknown,Unknown,arm,N,Unknown,Unknown
2004.03.27.a,2004,USA,Florida,"Sanibel Island, Lee County",Swimming,M,61,arm,N,8,Unknown
1981.05.19,1981,USA,Florida,"Sands Cut, Elliot Key",Free diving,M,32,arm,N,Unknown,Unknown
2003.09.28,2003,USA,Florida,"North Hutchinson Island, St. Lucie Couny",Surfing,M,16,arm,N,7,Unknown
1966.06.02,1966,FRENCH POLYNESIA,Society Islands,Tahiti,Fishing,M,Unknown,arm,N,15,Unknown
1981.02.00,1981,BRAZIL,Rio de Janeiro,Cabo Frio,Spearfishing,Unknown,Unknown,arm,N,Unknown,Unknown
2002.08.17,2002,USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,F,29,arm,N,17,Unknown
1978.04.02.a,1978,MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll,Diving,M,23,arm,N,Unknown,Unknown
2001.08.29,2001,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",Standing,F,29,arm,N,13,Unknown
1977.08.23,1977,AUSTRALIA,Queensland,"Buddina Beach, south of Noosa",Floating on an inflatable raft,M,25,arm,Y,Unknown,Unknown
2000.10.02,2000,USA,North Carolina,"Wrightsville Beach, New Hanover County",Surfing,M,24,arm,N,16,Unknown
1975.07.30.b,1975,USA,Oregon,Unknown,Sea disaster,F,62,arm,Y,Unknown,Unknown
1975.07.26.b,1975,USA,Florida,"Off Hutchinson Island, St Lucie County",Free diving,M,24,arm,N,Unknown,Unknown
2000.09.10.b,2000,USA,Florida,"Vero Beach, Indian River County",Swimming,M,8,arm,N,17,Unknown
2000.06.02,2000,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,M,13,arm,N,14,Unknown
1999.12.02,1999,USA,Florida,"Boynton Beach, Palm Beach County",Surfing,M,35,arm,N,12,Unknown
1974.08.16.b,1974,HONG KONG,Mirs Bay ,Unknown,Freedom swimming,M,19,arm,N,Unknown,Unknown
1999.03.18.a,1999,USA,Hawaii,"Olowalu side of Lahina, Maui ","Swimming, towing a kayak",F,29,arm,Y,20,Unknown
1898.07.15,1898,YEMEN ,Aden,Outer Harbor,Swimming at side of small boat,M,24,arm,Y,15,Unknown
1998.09.22,1998,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,arm,N,15,Unknown
1998.05.16.b,1998,USA,Florida,"Walden Rocks, St. Lucie County",Swimming / surfing,M,24,arm,N,15,Unknown
1972.10.22,1972,AUSTRALIA,Queensland,"Stevens Reef, 70 miles from Mackay",Spearfishing,M,24,arm,N,Unknown,Unknown
1972.03.21,1972,PACIFIC OCEAN ,Unknown,Unknown,Fishing,M,33,arm,N,Unknown,Unknown
1996.07.20,1996,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,9,arm,N,13,Unknown
1970.12.13,1970,MOZAMBIQUE,Inhambe Province,"Inhambe Bay Estuary, 10 to 12 miles inland from the sea",Fishing for prawns,M,20,arm,Y,Unknown,Unknown
1970.01.23.d,1970,MOZAMBIQUE,Limpopo River,3.2 km inland,Swimming,M,14,arm,N,Unknown,Unknown
1969.07.27,1969,ENGLAND,Unknown,Unknown,Unknown,M,Unknown,arm,N,Unknown,Unknown
1994.02.13,1994,USA,Hawaii,Kailua Bay,Fishing,M,Unknown,arm,N,17,Unknown
2003.04.09,2003,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,Unknown,arm,N,18,Unknown
1991.07.07,1991,USA,Florida,"South Miami Beach, Dade County",Swimming,M,22,arm,N,18,Unknown
1945.07.00,1945,JAVA,Northern Java,Off Cheribon,"90 European civilians, many women & children, were placed on the deck of a Japanese submarine that submerged when it was well offshore",Unknown,Unknown,arm,Y,18,Unknown
1987.10.25,1987,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,Boogie boarding,M,14,arm,N,16,Unknown
1967.10.00,1967,TONGA,Unknown,Unknown,Swimming,M,17,arm,N,Unknown,Unknown
1987.04.18,1987,USA,Texas,"Mustang Island, near Port Aransas",Swimming,F,16,arm,N,18,Unknown
2015.07.04.a,2015,USA,North Carolina,"Off Surf City, Pender County",Unknown,M,32,arm,N,18,Unknown
1930.07.19,1930,CUBA,Havana Province,"LaPlaya Beach / Vedado, Havana",Swimming,M,29,arm,N,18,Unknown
1976.07.24,1976,USA,Florida,St. Lucie County,Spearfishing,M,24,arm,N,10,Unknown
1965.05.28,1965,MEXICO,Veracruz,Playa Mocambo,Swimming,M,Unknown,arm,Y,Unknown,Unknown
1965.05.00.a,1965,MEXICO,Veracruz,Mocambo,Swimming,M,35,arm,N,Unknown,Unknown
1924.11.21,1924,USA,Puerto Rico,Santurce,Bathing,M,35,arm,Y,15,Unknown
1970.12.17,1970,MOZAMBIQUE,Inhambe Province,"Inhasoka, Inhambe Bay",Fishing for prawns,M,18,arm,Y,15,Unknown
2011.02.12,2011,AUSTRALIA,Western Australia,Exmouth,Snorkeling,M,58,arm,N,15,Unknown
1964.02.00.a,1964,COSTA RICA,Puntarenas Province,Puntarenas,Swimming,M,Unknown,arm,Y,Unknown,Unknown
1968.08.21,1968,USA,Florida,Okaloosa County,Standing,M,15,arm,N,17,Unknown
1967.12.18,1967,FIJI,Unknown,Unknown,Unknown,M,27,arm,N,9,Unknown
1963.07.15,1963,USA,Florida,"New Smyrna Beach, Volusia County",Bathing,M,14,arm,N,15,Unknown
1965.11.21.a,1965,PACIFIC OCEAN ,"250 miles southwest of O'ahu, Hawaii",Japanese fishing boat Taihei Maru No.10,"Hauling dead shark aboard, when another shark leapt out of the water & bit him",M,44,arm,N,23,Unknown
1965.06.09,1965,MEXICO,Veracruz,Mocambo,Swimming,M,38,arm,N,14,Unknown
1963.02.06,1963,MAURITIUS,Rodrigues,Unknown,Unknown,M,24,arm,N,Unknown,Unknown
1963.01.30,1963,FIJI,Unknown,Unknown,Freediving,M,41,arm,N,Unknown,Unknown
1965.05.29,1965,MEXICO,Veracruz,Playa Mocambo,Swimming,M,Unknown,arm,Y,12,Unknown
1955.05.00,1955,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Lou Island, south of Manus Island",Spearfishing,M,Unknown,arm,N,15,Unknown
1962.10.28,1962,SOUTH AFRICA,KwaZulu-Natal,Paradise Reef,Spearfishing,M,30,arm,N,15,Unknown
1962.09.22,1962,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",Swimming,M,20,arm,N,15,Unknown
2015.12.08,2015,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,F,22,arm,N,9,Unknown
1961.03.00,1961,FIJI,"19S, 178?E","Wotua Beach, 70 miles from Suva",Floating on back,M,Unknown,arm,N,11,Unknown
1960.08.24,1960,USA,Connecticut,"Off Eames Monument, Bridgeport, Fairfield County",Free diving,M,38,arm,N,13,Unknown
2013.09.21.a,2013,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,M,Unknown,arm,N,9,Unknown
1961.06.02,1961,NEW BRITAIN,East New Britain Province,Rabaul,Spearfishing,M,Unknown,arm,N,Unknown,Unknown
1956.07.12,1956,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,7,arm,N,15,Unknown
